"lon" "lat"
"1" -102.552784 23.634501
"2" NA NA
"3" 75.7872709 26.9124336
"4" 73.0296625 19.0330488
"5" 80.049922 15.5057232
"6" 85.8245398 20.2960587
"7" 74.7972825 34.0836708
"8" 15.35923 60.7467784
"9" 121.1744922 14.0900763
"10" 76.7794179 30.7333148
"11" 73.712479 24.585445
"12" 77.4537578 28.6691565
"13" -75.1652215 39.9525839
"14" -7.6920536 53.1423672
"15" 78.486671 17.385044
"16" 31.16558 48.379433
"17" 79.4304381 28.3670355
"18" 78.96288 20.593684
"19" 77.5945627 12.9715987
"20" 78.96288 20.593684
"21" 30.802498 26.820553
"22" -77.3063733 38.8462236
"23" 106.822745 -6.1744651
"24" 76.3810922 18.7271336
"25" 77.5945627 12.9715987
"26" 10.451526 51.165691
"27" 84.0061661 21.8554375
"28" -2.2405035 53.7892877
"29" 77.3910265 28.5355161
"30" 80.771797 7.873054
"31" 103.819836 1.352083
"32" 79.2086621 11.9687124
"33" 90.4125181 23.810332
"34" 72.8776559 19.0759837
"35" 121.774017 12.879721
"36" -6.137106 36.6889161
"37" 78.96288 20.593684
"38" -95.712891 37.09024
"39" 106.9755726 -6.2382699
"40" 76.2710833 10.8505159
"41" 77.2090212 28.6139391
"42" 87.8549755 22.9867569
"43" 80.2707184 13.0826802
"44" NA NA
"45" NA NA
"46" -0.1277583 51.5073509
"47" 115.2837585 -3.0926415
"48" 80.2707184 13.0826802
"49" 78.486671 17.385044
"50" 86.3756867 24.7744999
"51" 77.2090212 28.6139391
"52" 73.8567437 18.5204303
"53" 72.8776559 19.0759837
"54" 120.9842195 14.5995124
"55" 75.5761829 31.3260152
"56" -0.1277583 51.5073509
"57" 77.6101163 12.9165757
"58" -2.9149181 53.4155439
"59" -1.313968 43.547052
"60" 90.4125181 23.810332
"61" 13.404954 52.5200066
"62" 138.252924 36.204824
"63" -74.072092 4.7109886
"64" 77.1024902 28.7040592
"65" 77.2090212 28.6139391
"66" 101.975766 4.210484
"67" -0.1277583 51.5073509
"68" 76.345662 10.1075702
"69" -0.7594171 52.0406224
"70" 28.9783589 41.0082376
"71" 74.5697617 42.8746212
"72" 9.1859243 45.4654219
"73" 75.7138884 19.7514798
"74" 72.8963568 19.0327996
"75" -111.6957899 40.3120225
"76" 77.5945627 12.9715987
"77" 73.1812187 22.3071588
"78" 37.0150217 39.750545
"79" NA NA
"80" 77.3410656 11.1085242
"81" 76.5761714 33.778175
"82" -84.4277001 33.6407282
"83" 80.2707184 13.0826802
"84" 121.473701 31.230416
"85" NA NA
"86" 123.3054467 9.3068402
"87" 75.7872709 26.9124336
"88" 72.8776559 19.0759837
"89" -119.5937077 49.4991381
"90" 73.8567437 18.5204303
"91" 77.0266383 28.4594965
"92" -9.1393366 38.7222524
"93" 72.3693252 23.5879607
"94" 78.96288 20.593684
"95" 78.1197754 9.9252007
"96" -118.2436849 34.0522342
"97" 102.1089262 2.352279
"98" 77.2090212 28.6139391
"99" -97.5707716 30.23724
"100" 77.0266383 28.4594965
"101" 78.486671 17.385044
"102" 71.6833331 29.3957215
"103" -103.4067861 25.5428443
"104" 72.5713621 23.022505
"105" 72.8776559 19.0759837
"106" -118.2436849 34.0522342
"107" 77.4118996 8.1832857
"108" -3.435973 55.378051
"109" -1.1743197 52.3555177
"110" 104.195397 35.86166
"111" 77.3410656 11.1085242
"112" 72.7097161 31.1704063
"113" 77.1024902 28.7040592
"114" -7.5898434 33.5731104
"115" -99.9018131 31.9685988
"116" 80.2707184 13.0826802
"117" 75.7872709 26.9124336
"118" 72.8310607 21.1702401
"119" 101.975766 4.210484
"120" 77.1024902 28.7040592
"121" -95.712891 37.09024
"122" 77.2090212 28.6139391
"123" 70.8021599 22.3038945
"124" 72.5713621 23.022505
"125" -60.978893 13.909444
"126" 72.8776559 19.0759837
"127" 10.3279036 44.801485
"128" 9.9936818 53.5510846
"129" 77.2090212 28.6139391
"130" 76.3868797 30.3397809
"131" 110.9983515 -0.0697175
"132" 79.2086621 11.9687124
"133" 117.020359 36.66853
"134" -71.3128285 41.4901024
"135" -4.251806 55.864237
"136" 79.8576828 20.6098549
"137" 74.123996 15.2993265
"138" 76.2710833 10.8505159
"139" 74.8797127 21.3495981
"140" 73.8567437 18.5204303
"141" 80.2707184 13.0826802
"142" NA NA
"143" -78.4587475 38.2536312
"144" 77.3910265 28.5355161
"145" 106.822745 -6.1744651
"146" -81.3647004 28.5542532
"147" -3.435973 55.378051
"148" -3.7038322 40.4167515
"149" 75.1239547 15.3647083
"150" 80.2707184 13.0826802
"151" 76.9398195 13.3117814
"152" 76.9558321 11.0168445
"153" -78.8819588 33.7156305
"154" -95.712891 37.09024
"155" 78.486671 17.385044
"156" 72.8201599 19.1194644
"157" 80.2707184 13.0826802
"158" 81.846311 25.4358011
"159" 77.5945627 12.9715987
"160" 77.0266383 28.4594965
"161" 120.152792 30.267443
"162" 80.2707184 13.0826802
"163" 77.2090212 28.6139391
"164" 77.2090212 28.6139391
"165" 80.2707184 13.0826802
"166" 90.4125181 23.810332
"167" 65.7371749 31.628871
"168" 80.2488596 26.5035838
"169" 80.6480153 16.5061743
"170" -3.6793343 40.1846306
"171" 25.748151 61.92411
"172" 78.96288 20.593684
"173" 72.8310607 21.1702401
"174" 78.1361409 12.1065271
"175" 12.9213697 50.827845
"176" 77.5945627 12.9715987
"177" 27.142826 38.423734
"178" -95.712891 37.09024
"179" 80.2707184 13.0826802
"180" 77.2090212 28.6139391
"181" 84.3962535 26.1689087
"182" 77.5945627 12.9715987
"183" 30.802498 26.820553
"184" 91.7362365 26.1445169
"185" -1.759398 53.795984
"186" 81.8040345 17.0005383
"187" 4.4257868 50.9272511
"188" -95.712891 37.09024
"189" NA NA
"190" -3.7837117 52.1306607
"191" 78.486671 17.385044
"192" -48.3810895 -19.9241621
"193" -0.003371 51.5501741
"194" -3.649623 52.592615
"195" 79.8423888 10.7656082
"196" 16.56541 49.280078
"197" 118.763232 32.061707
"198" 118.796877 32.060255
"199" 80.2707184 13.0826802
"200" -46.6333094 -23.5505199
"201" 78.96288 20.593684
"202" 71.4687028 30.1983807
"203" -8.5335055 37.1417854
"204" 77.5945627 12.9715987
"205" 73.8567437 18.5204303
"206" -3.435973 55.378051
"207" NA NA
"208" 101.696445 2.926361
"209" 77.1024902 28.7040592
"210" 77.2090212 28.6139391
"211" 78.96288 20.593684
"212" -0.1277583 51.5073509
"213" 79.7036402 12.8341735
"214" -51.92528 -14.235004
"215" -1.470085 53.381129
"216" 76.7794179 30.7333148
"217" 85.896004 26.111868
"218" 80.2707184 13.0826802
"219" 77.673673 27.4924134
"220" NA NA
"221" 7.655573 45.0021286
"222" 83.2184815 17.6868159
"223" -11.779889 8.460555
"224" 78.96288 20.593684
"225" 75.5626039 21.0076578
"226" 78.96288 20.593684
"227" -4.2026458 56.4906712
"228" 75.7138884 19.7514798
"229" 77.2090212 28.6139391
"230" 1.9588007 41.4946573
"231" 78.486671 17.385044
"232" 75.7872709 26.9124336
"233" NA NA
"234" NA NA
"235" 73.712479 24.585445
"236" 80.2339031 12.9908081
"237" 77.5945627 12.9715987
"238" 78.96288 20.593684
"239" 88.363895 22.572646
"240" NA NA
"241" -71.3824374 42.4072107
"242" 91.8123324 22.3475365
"243" 75.8069082 12.3374942
"244" 78.6568942 11.1271225
"245" 78.96288 20.593684
"246" 77.590597 11.2680739
"247" 101.975766 4.210484
"248" 35.21371 31.768319
"249" 77.5847773 12.9507432
"250" 78.1348361 8.7641661
"251" 119.8554841 -0.8953077
